"Ingredient","Calories","Protein (g)","Fat (g)","Carbohydrates (g)"
"Salt","0","0.0","0.0","0.0"
"Black Pepper","6","0.3","0.1","1.4"
"Carrot","41","0.9","0.2","10.0"
"Chicken Breast","165","31.0","3.6","0.0"
"Water","0","0.0","0.0","0.0"
"Olive Oil","119","0.0","14.0","0.0"
"Garlic","4","0.2","0.0","1.0"
"Onion","40","1.1","0.1","9.0"
"Tomato","18","0.9","0.2","3.9"
"Basil","1","0.1","0.0","0.3"
"Butter","102","0.1","12.0","0.0"
"Flour","364","10.0","1.0","76.0"
"Sugar","387","0.0","0.0","100.0"
"Eggs","155","13.0","11.0","1.0"
"Milk","42","3.4","1.0","5.0"